gender,emotion,mfcc0_mean,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc0_std,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std,mfcc14_std,mfcc15_std,mfcc16_std,mfcc17_std,mfcc18_std,mfcc19_std,mfcc0_max,mfcc1_max,mfcc2_max,mfcc3_max,mfcc4_max,mfcc5_max,mfcc6_max,mfcc7_max,mfcc8_max,mfcc9_max,mfcc10_max,mfcc11_max,mfcc12_max,mfcc13_max,mfcc14_max,mfcc15_max,mfcc16_max,mfcc17_max,mfcc18_max,mfcc19_max
female,neutral,-598.68207,51.607494,10.78066,13.437082,5.4782753,0.05005473,-4.4521737,-8.553011,-3.2690914,0.2612314,-4.6167455,-3.6933422,0.20232789,-1.7765791,0.80908644,1.527883,-1.5355697,-1.2012928,0.78628576,-7.321623,173.90547,52.25022,22.442707,16.933372,16.590069,14.217669,17.619692,17.894238,13.070117,10.817514,12.829802,11.581232,10.464266,8.894166,6.4823184,9.495787,10.058965,8.141425,7.1043158,9.715216,-311.5484,169.77878,69.95291,61.06089,38.369522,25.16546,20.328705,13.697211,19.80227,21.91103,16.955715,11.347542,17.713367,16.274487,13.036097,26.060524,17.492521,11.138642,24.170418,5.1171284
male,neutral,-615.3663,55.919556,3.1576004,11.845134,6.6712933,1.0603585,-15.418916,-7.8669305,-5.6997433,-8.891807,-2.1577637,-2.9280412,-3.743549,-0.896022,-5.7435317,-1.2260725,-2.9607801,-3.6102262,-1.2887847,-2.256826,185.27354,60.13363,31.148748,19.140133,17.403791,9.6146145,18.520853,11.966355,10.52421,14.442133,8.798894,8.64167,9.254436,4.6875525,8.924768,7.1927547,8.610794,7.7722387,6.5849743,6.562871,-295.87964,185.95499,82.00839,55.481186,46.238457,15.822807,11.45518,22.245644,10.3817005,23.961319,26.07459,19.516325,22.964466,7.11343,5.2237625,17.097385,19.158764,11.243517,22.436916,9.491608
female,neutral,-687.8916,52.303005,1.6305003,0.8384831,4.323021,-1.807789,-8.304306,-10.773336,-9.619626,-0.3113282,-1.8227674,-8.277744,-1.6907357,-1.1215159,0.41629577,-7.165969,-0.59556973,-3.409065,-4.562001,-4.2004194,183.20035,53.768154,25.507555,20.664219,16.454336,16.654654,17.236616,15.563829,14.04596,9.965062,7.3938155,10.746288,10.332653,9.997046,6.0630283,10.886257,5.439353,6.681282,8.4663925,7.6838264,-360.32687,152.74646,93.38329,48.773243,33.918438,30.81337,22.598932,15.2095995,9.901967,23.17077,13.73382,12.739329,29.632713,23.6008,15.405669,8.295467,11.834898,6.945889,11.120144,8.980192
male,angry,-617.4165,75.535324,6.918883,9.33725,8.847603,-7.298743,-0.068878606,-6.8464847,-6.0127745,1.3507577,2.391313,0.72717935,3.0961459,-1.7649006,-2.4995267,1.8667125,-5.012341,-0.39641502,-0.5980804,-0.30407935,165.77011,79.726006,24.927105,24.07464,18.538515,28.077248,12.183625,16.85529,13.063173,8.034199,11.008995,7.35707,9.306348,9.956803,9.340288,5.975094,11.002629,6.608338,6.694882,6.6116548,-324.74194,194.7315,74.76091,67.32907,54.031677,46.8079,26.192644,29.368977,17.79949,18.906013,23.601683,22.158028,33.018787,18.687664,12.293322,13.371948,15.862774,17.931416,10.513776,15.314692
male,surprise,-676.91547,46.510468,0.211802,6.5229354,-1.0686175,1.5531121,-6.250492,-5.51349,-4.8299165,-3.1521056,0.53553677,-3.5011082,0.75463194,-0.4533117,-2.1087162,-0.71305,-5.2160907,-1.432216,1.3085644,0.5295656,183.55574,57.157314,20.761774,22.300121,18.683716,11.241214,18.316093,16.047691,13.503752,11.649279,7.654119,11.9375,7.690361,6.6272388,8.282183,7.506781,11.572168,8.036412,6.1154423,7.45566,-348.14896,174.9614,56.6393,52.11148,29.7039,21.823395,15.9747505,16.097847,13.495626,12.192297,19.556515,15.540763,20.700806,17.268517,7.304035,8.6918125,6.7560186,11.509393,14.219808,18.917543
male,surprise,-551.0947,45.550564,-6.999231,0.93898547,3.219925,-2.447161,-6.737068,-5.8178577,-10.700318,-3.2905972,0.9410037,-3.4358025,-4.6029496,-2.491829,-7.120709,-0.60783654,-6.529502,-5.189111,-3.8838983,-0.95016414,208.14801,60.419617,30.181778,20.19097,15.949985,17.92208,15.562218,12.478686,17.238922,9.785341,9.513212,9.593934,11.490173,7.3536644,11.630766,5.351218,11.99572,9.835678,8.630058,6.1997147,-202.96698,190.44916,85.55899,57.040535,31.220871,32.897774,18.505745,13.993124,11.432533,21.022228,29.602703,15.38891,12.664434,10.93191,4.9635134,8.098687,9.1068,9.099786,6.816431,15.261383
male,neutral,-614.73914,56.70819,-2.6855352,10.650176,4.2408056,-2.4720972,-12.03572,-6.65451,-3.1527145,-8.526167,-1.9532496,-2.6058393,-4.9945354,-0.8218535,-5.97312,-1.7033631,-4.6929917,-2.8690095,-1.9748096,-4.9853473,166.63824,61.50741,26.742678,22.579952,17.137484,12.817212,18.928368,12.910887,10.041362,14.772186,8.158289,10.005387,8.834499,5.2390122,8.583912,6.102327,8.121581,7.518386,4.496877,7.264993,-319.58774,188.17712,73.04366,66.24133,45.945065,22.079506,9.174504,32.10932,21.70318,21.100866,16.590954,16.510735,12.036398,11.817301,5.3983984,21.326008,10.470786,9.50602,10.877935,6.0170546
female,sad,-802.7148,39.45842,0.11079366,9.741202,-2.2791443,2.1098502,-5.1756215,-12.984359,-3.8202267,-1.7401009,-3.3669624,-3.5169377,-2.15833,0.8701359,-5.635094,-4.9954815,-4.786016,-1.6746417,-6.2279687,-3.367931,194.88649,53.399128,16.968369,17.48564,12.557363,11.1612425,9.417584,15.526524,10.484605,9.306417,7.212999,8.216007,6.247252,5.4990673,7.334362,7.0549865,7.2778993,4.983514,7.5642834,6.1218414,-491.20685,173.88252,32.907497,65.701065,25.188732,31.493065,11.895939,6.8927517,22.36539,13.948571,11.144554,15.728874,10.316355,15.339779,7.928615,6.1964526,8.069584,10.791582,8.865532,10.460121
male,calm,-648.04004,65.04307,14.119349,19.110561,15.406818,8.217192,7.7473097,-0.95566696,-3.0809286,5.4349413,0.098231345,0.043317907,6.180605,0.816746,0.72146297,0.9855923,0.17221119,0.7126042,0.066573,2.094363,172.28867,60.598976,18.239521,21.21711,16.169954,17.676191,9.48358,13.750666,16.589945,9.336703,12.059655,12.115002,9.177173,9.2752075,8.181463,6.8837085,8.057929,7.5290604,7.359661,5.327421,-318.57306,221.70316,54.452427,84.984634,53.24417,38.78141,23.699081,15.758183,14.27585,34.098145,15.823567,28.113182,31.078953,11.135258,11.5005665,14.562827,12.595724,12.01339,13.100894,13.542688
male,angry,-372.04776,50.743774,-19.757572,3.0540447,2.2442718,-10.231513,-6.5682096,-6.5028667,-6.7709947,-1.625316,0.38355836,-0.20298356,-2.0468285,-0.12817018,-2.24555,-1.4146229,-1.6935625,-0.91248053,0.59628195,3.9251335,212.26033,56.1587,32.681053,15.213844,16.797848,23.7979,13.929792,16.09198,12.34344,8.717315,8.27469,8.912579,8.190835,6.308706,8.413369,8.344735,7.749889,6.8136206,8.2770815,7.096471,-72.58703,172.59608,46.933758,51.242546,44.907272,22.127098,17.923382,26.21812,10.557404,16.851559,21.634544,25.304382,13.596466,15.605693,16.388004,14.911341,23.872639,15.992797,22.410181,27.190285
